City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
448,Sinnamary,GF,74.8,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
449,Saquarema,BR,71.44,overcast clouds,-22.92,-42.5103,Hotel Fazenda Sol e Lua
451,Ikwiriri,TZ,74.68,overcast clouds,-7.9562,38.9716,Greenland lodge
452,Marawi,PH,73.65,scattered clouds,7.9986,124.2928,Derogongan Residence
454,Kuching,MY,79.02,broken clouds,1.55,110.3333,The Ranee Boutique Suites
462,Ladario,BR,77.41,broken clouds,-19.0047,-57.6017,Hotel Fazenda 4 cantos
463,Olinda,BR,82.13,broken clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
468,General Roca,AR,86.63,broken clouds,-39.0333,-67.5833,Hotel y Casino del Río General Roca
470,Porto Belo,BR,75.15,overcast clouds,-27.1578,-48.5531,Costa Verde Beach Hotel
471,Trelew,AR,82.81,broken clouds,-43.249,-65.3051,Hotel Touring Club
472,Lorengau,PG,82.17,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
473,Kahului,US,78.82,few clouds,20.8947,-156.47,Maui Seaside Hotel
474,Lamu,KE,79.02,broken clouds,-2.2717,40.902,Lamu House
475,Chavakachcheri,LK,80.69,overcast clouds,9.6579,80.1643,Muslim hotel முஸ்லிம் ஹோட்டல்
476,Kabanjahe,ID,73.44,broken clouds,3.1001,98.4908,Kos-Kosan wanita muslim bagoes kabanjahe
477,Tuy Hoa,VN,76.91,broken clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
480,Samarai,PG,81.07,moderate rain,-10.6167,150.6667,Nuli Sapi
481,Cancun,MX,77.05,broken clouds,21.1743,-86.8466,Hotel Tankah Cancun
484,Koumac,NC,81.9,broken clouds,-20.5667,164.2833,Le Monitel
486,Vao,NC,77.81,clear sky,-22.6667,167.4833,Hotel Kou-Bugny
488,Jeremie,HT,77.0,broken clouds,18.65,-74.1167,Auberge’Inn
502,Sembe,CG,73.9,overcast clouds,1.6481,14.5806,
503,Boende,CD,72.86,overcast clouds,-0.2167,20.8667,
507,Angoche,MZ,75.34,overcast clouds,-16.2325,39.9086,Guest House HESADA
511,Amapa,BR,70.54,overcast clouds,1.0,-52.0,
513,Taunggyi,MM,70.45,clear sky,20.7833,97.0333,True Treasure Hotel
521,Ahuimanu,US,76.71,broken clouds,21.4447,-157.8378,Paradise Bay Resort
526,Nishihara,JP,71.65,scattered clouds,26.1842,127.7558,Minshuku Agaihama
527,Bundaberg,AU,84.49,scattered clouds,-24.85,152.35,Takalvan Motel
529,Waingapu,ID,85.82,few clouds,-9.6567,120.2641,Pondok Wisata Elim
531,Vila Do Maio,CV,70.59,overcast clouds,15.1333,-23.2167,Hotel Marilu
537,Portobelo,PA,76.05,broken clouds,9.55,-79.65,Scuba Portobelo
539,Kuliyapitiya,LK,82.08,scattered clouds,7.4688,80.0401,Rest House
544,Kilindoni,TZ,82.08,overcast clouds,-7.9139,39.6668,Bustani B&B
545,Bousso,TD,71.53,scattered clouds,10.4795,16.7117,
546,Jardim,BR,73.09,clear sky,-21.4803,-56.1381,Estancia Hotel - Jardim MS
549,Nieuw Amsterdam,SR,75.02,overcast clouds,5.8833,-55.0833,Hotel Stardust
551,Cap Malheureux,MU,80.47,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
554,Vila Velha,BR,73.35,overcast clouds,-20.3297,-40.2925,Quality Suites Vila Velha
555,Penalva,BR,73.74,overcast clouds,-3.2942,-45.1736,Hotel São José
556,Angleton,US,75.25,overcast clouds,29.1694,-95.4319,La Quinta Inn & Suites by Wyndham Angleton
557,Bubaque,GW,79.02,broken clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
558,Sibu,MY,86.31,scattered clouds,2.3,111.8167,RH HOTEL (4 Star)
563,Pisco,PE,71.65,scattered clouds,-13.7,-76.2167,Hotel San Isidro Oficial
568,Cabatuan,PH,84.38,few clouds,10.8794,122.486,MVC Transient Room
571,Buchanan,LR,77.95,light rain,5.8808,-10.0467,Kamaneahn Hotel Inc
572,Arica,CL,70.03,clear sky,-18.475,-70.3042,Hostal Jardin Del Sol
573,Jaciara,BR,71.6,overcast clouds,-15.9653,-54.9683,Taba Hotel
575,Muswellbrook,AU,72.27,overcast clouds,-32.2667,150.9,Wayfarer Motel
